id;infinitive;time;mood;person;quantity;conjugation
116;haver;condicional;indicatiu;1;plural;hauríem
117;haver;condicional;indicatiu;2;plural;hauríeu
118;haver;condicional;indicatiu;3;plural;haurien
119;haver;participi;;;;hagut
120;haver;gerundi;;;;havent
121;ser;present;indicatiu;1;singular;soc
122;ser;present;indicatiu;2;singular;ets
123;ser;present;indicatiu;3;singular;és
124;ser;present;indicatiu;1;plural;som
125;ser;present;indicatiu;2;plural;sou
126;ser;present;indicatiu;3;plural;són
127;ser;present;subjuntiu;1;singular;sigui
128;ser;present;subjuntiu;2;singular;siguis
129;ser;present;subjuntiu;3;singular;sigui
130;ser;present;subjuntiu;1;plural;siguem
131;ser;present;subjuntiu;2;plural;sigueu
132;ser;present;subjuntiu;3;plural;siguin
133;ser;present;imperatiu;2;singular;sigues
134;ser;present;imperatiu;2;plural;sigueu
135;ser;imperfet;indicatiu;1;singular;era
136;ser;imperfet;indicatiu;2;singular;eres
137;ser;imperfet;indicatiu;3;singular;era
138;ser;imperfet;indicatiu;1;plural;érem
139;ser;imperfet;indicatiu;2;plural;éreu
140;ser;imperfet;indicatiu;3;plural;eren
141;ser;imperfet;subjuntiu;1;singular;fos
142;ser;imperfet;subjuntiu;2;singular;fossis
143;ser;imperfet;subjuntiu;3;singular;fos
144;ser;imperfet;subjuntiu;1;plural;fóssim
145;ser;imperfet;subjuntiu;2;plural;fóssiu
146;ser;imperfet;subjuntiu;3;plural;fossin
147;ser;futur;indicatiu;1;singular;seré
148;ser;futur;indicatiu;2;singular;seràs
149;ser;futur;indicatiu;3;singular;serà
150;ser;futur;indicatiu;1;plural;serem
151;ser;futur;indicatiu;2;plural;sereu
152;ser;futur;indicatiu;3;plural;seran
153;ser;condicional;indicatiu;1;singular;seria
154;ser;condicional;indicatiu;2;singular;series
155;ser;condicional;indicatiu;3;singular;seria
156;ser;condicional;indicatiu;1;plural;seríem
157;ser;condicional;indicatiu;2;plural;seríeu
158;ser;condicional;indicatiu;3;plural;serien
159;ser;participi;;;;estat
160;ser;gerundi;;;;sent
161;estar;present;indicatiu;1;singular;estic
162;estar;present;indicatiu;2;singular;estàs
163;estar;present;indicatiu;3;singular;està
164;estar;present;indicatiu;1;plural;estem
165;estar;present;indicatiu;2;plural;esteu
166;estar;present;indicatiu;3;plural;estan
167;estar;present;subjuntiu;1;singular;estigui
168;estar;present;subjuntiu;2;singular;estiguis
169;estar;present;subjuntiu;3;singular;estigui
170;estar;present;subjuntiu;1;plural;estiguem
171;estar;present;subjuntiu;2;plural;estigueu
172;estar;present;subjuntiu;3;plural;estiguin
173;estar;present;imperatiu;2;singular;estigues
174;estar;present;imperatiu;2;plural;estigueu
175;estar;imperfet;indicatiu;1;singular;estigui
176;estar;imperfet;indicatiu;2;singular;estiguis
177;estar;imperfet;indicatiu;3;singular;estigui
178;estar;imperfet;indicatiu;1;plural;estiguem
179;estar;imperfet;indicatiu;2;plural;estigueu
180;estar;imperfet;indicatiu;3;plural;estiguin
181;estar;imperfet;subjuntiu;1;singular;estigués
182;estar;imperfet;subjuntiu;2;singular;estiguessis
183;estar;imperfet;subjuntiu;3;singular;estigués
184;estar;imperfet;subjuntiu;1;plural;estiguéssim
185;estar;imperfet;subjuntiu;2;plural;estiguéssiu
186;estar;imperfet;subjuntiu;3;plural;estiguessin
187;estar;futur;indicatiu;1;singular;estaré
188;estar;futur;indicatiu;2;singular;estaràs
189;estar;futur;indicatiu;3;singular;estarà
190;estar;futur;indicatiu;1;plural;estarem
